county,todays_date,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients,icu_available_beds
Mendocino,2020-03-29,1.0,11.0,,,0.0,0.0,1.0
Siskiyou,2020-03-29,0.0,0.0,,,0.0,0.0,2.0
Santa Clara,2020-03-29,141.0,72.0,,,65.0,15.0,70.0
Kern,2020-03-29,16.0,57.0,,,8.0,8.0,39.0
Los Angeles,2020-03-29,489.0,1132.0,,,191.0,182.0,345.0
San Joaquin,2020-03-29,34.0,35.0,,,5.0,2.0,7.0
Modoc,2020-03-29,0.0,0.0,,,0.0,0.0,
Butte,2020-03-29,,,,,,,
San Diego,2020-03-29,121.0,211.0,,,77.0,39.0,205.0
Sacramento,2020-03-29,36.0,27.0,,,12.0,18.0,50.0
Kings,2020-03-29,2.0,5.0,,,1.0,0.0,2.0
Santa Barbara,2020-03-29,15.0,21.0,,,9.0,3.0,47.0
Stanislaus,2020-03-29,20.0,48.0,,,9.0,8.0,25.0
Lassen,2020-03-29,0.0,2.0,,,0.0,0.0,
San Luis Obispo,2020-03-29,7.0,12.0,,,3.0,4.0,948.0
San Bernardino,2020-03-29,33.0,123.0,,,19.0,20.0,65.0
Santa Cruz,2020-03-29,0.0,0.0,,,0.0,0.0,
San Mateo,2020-03-29,46.0,27.0,,,16.0,10.0,28.0
Tehama,2020-03-29,0.0,0.0,,,0.0,0.0,2.0
Yolo,2020-03-29,2.0,3.0,,,1.0,1.0,0.0
Solano,2020-03-29,7.0,27.0,,,4.0,1.0,28.0
Humboldt,2020-03-29,1.0,10.0,,,0.0,0.0,18.0
Nevada,2020-03-29,23.0,,,,1.0,0.0,3.0
Sonoma,2020-03-29,7.0,20.0,,,2.0,5.0,12.0
Sutter,2020-03-29,0.0,0.0,,,0.0,0.0,
Yuba,2020-03-29,2.0,12.0,,,2.0,4.0,2.0
Glenn,2020-03-29,,,,,,,
San Francisco,2020-03-29,50.0,73.0,,,24.0,10.0,61.0
Mono,2020-03-29,0.0,1.0,,,0.0,0.0,2.0
El Dorado,2020-03-29,0.0,6.0,,,0.0,3.0,3.0
Orange,2020-03-29,74.0,167.0,,,31.0,40.0,131.0
Alameda,2020-03-29,36.0,91.0,,,20.0,16.0,119.0
Calaveras,2020-03-29,,,,,,,
Inyo,2020-03-29,,,,,,,
Tuolumne,2020-03-29,1.0,5.0,,,0.0,0.0,0.0
Del Norte,2020-03-29,1.0,2.0,,,0.0,0.0,3.0
Ventura,2020-03-29,24.0,85.0,,,5.0,19.0,14.0
Placer,2020-03-29,18.0,14.0,,,4.0,1.0,10.0
Shasta,2020-03-29,0.0,0.0,,,0.0,0.0,
Colusa,2020-03-29,,,,,,,
Riverside,2020-03-29,44.0,78.0,,,13.0,20.0,46.0
Tulare,2020-03-29,6.0,13.0,,,5.0,3.0,7.0
Lake,2020-03-29,0.0,1.0,,,0.0,1.0,2.0
Amador,2020-03-29,1.0,0.0,,,0.0,0.0,2.0
Contra Costa,2020-03-29,23.0,62.0,,,8.0,15.0,62.0
Imperial,2020-03-29,5.0,100.0,,,1.0,2.0,2.0
Madera,2020-03-29,1.0,6.0,,,1.0,1.0,8.0
Napa,2020-03-29,0.0,26.0,,,,,5.0
Monterey,2020-03-29,2.0,16.0,,,1.0,2.0,10.0
Merced,2020-03-29,1.0,7.0,,,0.0,0.0,3.0
San Benito,2020-03-29,1.0,1.0,,,1.0,0.0,1.0
Marin,2020-03-29,7.0,13.0,,,2.0,6.0,11.0
Fresno,2020-03-29,8.0,116.0,,,3.0,14.0,22.0
Plumas,2020-03-29,0.0,1.0,,,0.0,1.0,
Trinity,2020-03-29,0.0,0.0,,,0.0,0.0,
Mono,2020-03-30,0.0,1.0,,,0.0,0.0,2.0
Amador,2020-03-30,0.0,1.0,,,0.0,0.0,4.0
Imperial,2020-03-30,19.0,109.0,,,3.0,3.0,4.0
Trinity,2020-03-30,0.0,0.0,,,0.0,0.0,
Sutter,2020-03-30,0.0,0.0,,,0.0,0.0,
San Mateo,2020-03-30,56.0,40.0,,,18.0,11.0,47.0
Butte,2020-03-30,4.0,12.0,,,2.0,1.0,5.0
Nevada,2020-03-30,26.0,17.0,,,2.0,5.0,3.0
Santa Barbara,2020-03-30,19.0,25.0,,,11.0,7.0,48.0
El Dorado,2020-03-30,0.0,9.0,,,0.0,6.0,9.0
Orange,2020-03-30,98.0,251.0,,,42.0,58.0,131.0
Tulare,2020-03-30,5.0,21.0,,,4.0,6.0,7.0
Lake,2020-03-30,0.0,1.0,,,0.0,1.0,3.0
San Joaquin,2020-03-30,28.0,30.0,,,8.0,4.0,53.0
Kern,2020-03-30,18.0,123.0,,,6.0,8.0,51.0
Madera,2020-03-30,1.0,5.0,,,1.0,3.0,4.0
Glenn,2020-03-30,0.0,0.0,,,0.0,0.0,
Colusa,2020-03-30,0.0,1.0,,,0.0,1.0,5.0
Tuolumne,2020-03-30,1.0,2.0,,,0.0,0.0,3.0
Mendocino,2020-03-30,2.0,11.0,,,0.0,1.0,8.0
Riverside,2020-03-30,60.0,133.0,,,22.0,33.0,77.0
Humboldt,2020-03-30,1.0,8.0,,,0.0,0.0,10.0
Solano,2020-03-30,15.0,16.0,,,6.0,0.0,47.0
Modoc,2020-03-30,0.0,31.0,,,0.0,0.0,
Inyo,2020-03-30,,,,,,,
San Francisco,2020-03-30,58.0,92.0,,,18.0,7.0,90.0
Kings,2020-03-30,2.0,12.0,,,1.0,2.0,0.0
Los Angeles,2020-03-30,601.0,1277.0,,,245.0,244.0,456.0
Sonoma,2020-03-30,7.0,22.0,,,3.0,4.0,29.0
San Luis Obispo,2020-03-30,5.0,11.0,,,3.0,4.0,957.0
Yolo,2020-03-30,2.0,2.0,,,1.0,2.0,0.0
Marin,2020-03-30,10.0,9.0,,,4.0,2.0,16.0
Placer,2020-03-30,19.0,19.0,,,5.0,1.0,29.0
Del Norte,2020-03-30,0.0,2.0,,,0.0,0.0,5.0
Siskiyou,2020-03-30,0.0,0.0,,,0.0,0.0,3.0
Monterey,2020-03-30,11.0,16.0,,,4.0,0.0,17.0
Sacramento,2020-03-30,45.0,86.0,,,21.0,23.0,58.0
Santa Cruz,2020-03-30,0.0,2.0,,,0.0,0.0,4.0
Stanislaus,2020-03-30,17.0,51.0,,,9.0,5.0,29.0
Contra Costa,2020-03-30,25.0,54.0,,,11.0,6.0,90.0
Lassen,2020-03-30,0.0,4.0,,,0.0,0.0,
San Diego,2020-03-30,146.0,446.0,,,72.0,23.0,228.0
Alameda,2020-03-30,59.0,89.0,,,27.0,18.0,146.0
Fresno,2020-03-30,10.0,88.0,,,3.0,14.0,24.0
San Bernardino,2020-03-30,67.0,179.0,,,27.0,33.0,66.0
Ventura,2020-03-30,25.0,82.0,,,5.0,28.0,15.0
San Benito,2020-03-30,1.0,1.0,,,1.0,0.0,1.0
Calaveras,2020-03-30,0.0,3.0,,,0.0,1.0,5.0
Tehama,2020-03-30,0.0,2.0,,,0.0,0.0,2.0
Napa,2020-03-30,3.0,8.0,,,1.0,0.0,9.0
Santa Clara,2020-03-30,153.0,93.0,,,74.0,23.0,103.0
Merced,2020-03-30,1.0,9.0,,,0.0,2.0,11.0
Yuba,2020-03-30,3.0,17.0,,,2.0,4.0,10.0
Plumas,2020-03-30,0.0,1.0,,,0.0,0.0,
Shasta,2020-03-30,1.0,4.0,,,0.0,0.0,13.0
Yuba,2020-03-31,2.0,21.0,,,2.0,4.0,6.0
Contra Costa,2020-03-31,27.0,54.0,,,11.0,10.0,68.0
Amador,2020-03-31,0.0,0.0,,,0.0,0.0,4.0
San Joaquin,2020-03-31,44.0,54.0,,,14.0,5.0,28.0
Orange,2020-03-31,105.0,233.0,,,45.0,44.0,131.0
Santa Barbara,2020-03-31,19.0,29.0,,,14.0,7.0,48.0
Monterey,2020-03-31,11.0,15.0,,,4.0,2.0,17.0
Tehama,2020-03-31,0.0,2.0,,,0.0,0.0,4.0
Plumas,2020-03-31,0.0,0.0,,,0.0,0.0,
Mendocino,2020-03-31,0.0,1.0,,,0.0,0.0,7.0
Santa Clara,2020-03-31,155.0,98.0,,,73.0,17.0,92.0
Kings,2020-03-31,1.0,3.0,,,1.0,2.0,4.0
Tuolumne,2020-03-31,0.0,37.0,,,0.0,0.0,4.0
Napa,2020-03-31,1.0,5.0,,,1.0,1.0,12.0
Colusa,2020-03-31,0.0,1.0,,,0.0,1.0,5.0
San Francisco,2020-03-31,67.0,69.0,,,30.0,14.0,77.0
Butte,2020-03-31,4.0,20.0,,,2.0,3.0,2.0
San Bernardino,2020-03-31,82.0,231.0,,,33.0,48.0,63.0
Imperial,2020-03-31,12.0,100.0,,,3.0,4.0,4.0
Humboldt,2020-03-31,1.0,11.0,,,0.0,4.0,8.0
Sonoma,2020-03-31,8.0,18.0,,,3.0,3.0,21.0
Stanislaus,2020-03-31,20.0,31.0,,,9.0,1.0,34.0
Lake,2020-03-31,0.0,4.0,,,0.0,2.0,3.0
Kern,2020-03-31,14.0,63.0,,,6.0,6.0,46.0
Placer,2020-03-31,18.0,27.0,,,6.0,0.0,28.0
Del Norte,2020-03-31,0.0,4.0,,,0.0,0.0,3.0
Marin,2020-03-31,9.0,14.0,,,4.0,2.0,15.0
Solano,2020-03-31,15.0,15.0,,,6.0,5.0,42.0
Alameda,2020-03-31,56.0,94.0,,,27.0,17.0,77.0
San Diego,2020-03-31,158.0,408.0,,,75.0,39.0,208.0
Shasta,2020-03-31,1.0,5.0,,,1.0,0.0,4.0
San Mateo,2020-03-31,60.0,23.0,,,18.0,5.0,37.0
Fresno,2020-03-31,30.0,274.0,,,4.0,19.0,23.0
San Luis Obispo,2020-03-31,7.0,15.0,,,3.0,6.0,955.0
Santa Cruz,2020-03-31,1.0,10.0,,,1.0,2.0,7.0
Ventura,2020-03-31,21.0,90.0,,,5.0,24.0,12.0
Trinity,2020-03-31,0.0,0.0,,,0.0,0.0,
Sutter,2020-03-31,0.0,0.0,,,0.0,0.0,
Sacramento,2020-03-31,53.0,110.0,,,20.0,31.0,66.0
Calaveras,2020-03-31,0.0,1.0,,,0.0,0.0,4.0
Riverside,2020-03-31,80.0,155.0,,,28.0,59.0,75.0
Tulare,2020-03-31,6.0,14.0,,,4.0,5.0,9.0
Lassen,2020-03-31,0.0,7.0,,,0.0,0.0,
El Dorado,2020-03-31,10.0,9.0,,,0.0,6.0,12.0
Merced,2020-03-31,3.0,11.0,,,0.0,2.0,10.0
Nevada,2020-03-31,36.0,40.0,,,2.0,1.0,6.0
San Benito,2020-03-31,1.0,0.0,,,1.0,0.0,1.0
Los Angeles,2020-03-31,713.0,1239.0,,,315.0,239.0,445.0
Yolo,2020-03-31,3.0,2.0,,,2.0,2.0,1.0
Madera,2020-03-31,1.0,3.0,,,1.0,0.0,5.0
Modoc,2020-03-31,0.0,19.0,,,0.0,0.0,
Mono,2020-03-31,0.0,1.0,,,0.0,0.0,2.0
Glenn,2020-03-31,0.0,0.0,,,0.0,0.0,
Siskiyou,2020-03-31,0.0,0.0,,,0.0,0.0,4.0
Inyo,2020-03-31,,83.0,,,0.0,0.0,6.0
Sutter,2020-04-01,0.0,0.0,,,0.0,0.0,
Shasta,2020-04-01,1.0,4.0,,,0.0,1.0,13.0
Merced,2020-04-01,3.0,15.0,,,0.0,3.0,9.0
Nevada,2020-04-01,36.0,54.0,,,0.0,4.0,3.0
Del Norte,2020-04-01,0.0,5.0,,,0.0,0.0,3.0
Orange,2020-04-01,117.0,221.0,,,50.0,48.0,118.0
El Dorado,2020-04-01,14.0,8.0,,,1.0,3.0,9.0
San Francisco,2020-04-01,67.0,66.0,,,30.0,8.0,64.0
Placer,2020-04-01,25.0,28.0,,,6.0,2.0,7.0
Calaveras,2020-04-01,0.0,1.0,,,0.0,0.0,5.0
Modoc,2020-04-01,0.0,1.0,,,0.0,0.0,
Yolo,2020-04-01,3.0,3.0,,,1.0,1.0,2.0
Trinity,2020-04-01,0.0,0.0,,,0.0,0.0,
Contra Costa,2020-04-01,31.0,42.0,,,12.0,12.0,61.0
Alameda,2020-04-01,52.0,76.0,,,27.0,15.0,106.0
Santa Barbara,2020-04-01,23.0,23.0,,,15.0,6.0,51.0
Tuolumne,2020-04-01,0.0,0.0,,,0.0,0.0,2.0
Santa Cruz,2020-04-01,2.0,12.0,,,2.0,2.0,3.0
Siskiyou,2020-04-01,0.0,5.0,,,0.0,2.0,3.0
Solano,2020-04-01,14.0,18.0,,,5.0,2.0,31.0
Madera,2020-04-01,1.0,3.0,,,1.0,0.0,4.0
Inyo,2020-04-01,7.0,89.0,,,0.0,0.0,6.0
Tehama,2020-04-01,0.0,1.0,,,0.0,1.0,4.0
Amador,2020-04-01,0.0,3.0,,,0.0,0.0,2.0
Mono,2020-04-01,0.0,0.0,,,0.0,0.0,2.0
Glenn,2020-04-01,,,,,,,
Sonoma,2020-04-01,5.0,18.0,,,1.0,2.0,22.0
Fresno,2020-04-01,19.0,101.0,,,5.0,13.0,53.0
Mendocino,2020-04-01,0.0,2.0,,,0.0,0.0,8.0
Yuba,2020-04-01,2.0,24.0,,,2.0,4.0,6.0
Kings,2020-04-01,2.0,6.0,,,1.0,2.0,1.0
Kern,2020-04-01,15.0,45.0,,,7.0,9.0,32.0
Lake,2020-04-01,0.0,2.0,,,0.0,0.0,2.0
Lassen,2020-04-01,0.0,7.0,,,0.0,0.0,
Imperial,2020-04-01,4.0,15.0,,,3.0,4.0,7.0
San Luis Obispo,2020-04-01,8.0,10.0,,,5.0,6.0,968.0
San Diego,2020-04-01,168.0,340.0,,,71.0,32.0,215.0
San Benito,2020-04-01,2.0,0.0,,,2.0,0.0,0.0
Santa Clara,2020-04-01,160.0,85.0,,,77.0,15.0,91.0
Monterey,2020-04-01,13.0,16.0,,,4.0,4.0,15.0
Colusa,2020-04-01,0.0,1.0,,,0.0,1.0,5.0
Napa,2020-04-01,2.0,2.0,,,0.0,1.0,9.0
Ventura,2020-04-01,22.0,96.0,,,5.0,23.0,27.0
San Joaquin,2020-04-01,25.0,35.0,,,16.0,11.0,21.0
Mariposa,2020-04-01,0.0,0.0,,,0.0,0.0,
San Mateo,2020-04-01,57.0,35.0,,,19.0,9.0,36.0
Sacramento,2020-04-01,53.0,138.0,,,20.0,33.0,74.0
Marin,2020-04-01,9.0,19.0,,,4.0,2.0,14.0
Los Angeles,2020-04-01,739.0,1332.0,,,335.0,220.0,492.0
Humboldt,2020-04-01,1.0,9.0,,,0.0,3.0,7.0
Tulare,2020-04-01,4.0,12.0,,,3.0,4.0,9.0
Butte,2020-04-01,5.0,33.0,,,2.0,4.0,9.0
Plumas,2020-04-01,0.0,0.0,,,0.0,0.0,
Riverside,2020-04-01,85.0,182.0,,,29.0,47.0,76.0
Stanislaus,2020-04-01,25.0,39.0,,,10.0,6.0,31.0
San Bernardino,2020-04-01,95.0,196.0,,,39.0,52.0,34.0
Santa Clara,2020-04-02,163.0,101.0,,,69.0,19.0,95.0
San Diego,2020-04-02,144.0,343.0,,,69.0,35.0,206.0
Sonoma,2020-04-02,8.0,18.0,,,1.0,0.0,10.0
Lassen,2020-04-02,0.0,7.0,,,0.0,0.0,
Lake,2020-04-02,0.0,1.0,,,0.0,0.0,2.0
Shasta,2020-04-02,2.0,4.0,,,1.0,0.0,10.0
Orange,2020-04-02,129.0,225.0,,,67.0,47.0,96.0
Humboldt,2020-04-02,1.0,8.0,,,0.0,2.0,8.0
Tulare,2020-04-02,4.0,26.0,,,4.0,5.0,3.0
Trinity,2020-04-02,0.0,0.0,,,0.0,0.0,
Yolo,2020-04-02,3.0,2.0,,,2.0,3.0,0.0
Butte,2020-04-02,4.0,26.0,,,2.0,2.0,12.0
Monterey,2020-04-02,14.0,14.0,,,4.0,2.0,12.0
Los Angeles,2020-04-02,818.0,1270.0,,,346.0,193.0,488.0
San Bernardino,2020-04-02,126.0,185.0,,,50.0,45.0,37.0
Riverside,2020-04-02,136.0,181.0,,,45.0,49.0,104.0
Sacramento,2020-04-02,71.0,92.0,,,24.0,19.0,80.0
Tehama,2020-04-02,0.0,1.0,,,0.0,1.0,4.0
Mariposa,2020-04-02,0.0,1.0,,,0.0,0.0,
Kern,2020-04-02,27.0,77.0,,,12.0,23.0,36.0
Colusa,2020-04-02,0.0,1.0,,,0.0,1.0,5.0
Sutter,2020-04-02,0.0,0.0,,,,,
Fresno,2020-04-02,17.0,74.0,,,6.0,13.0,33.0
Del Norte,2020-04-02,0.0,3.0,,,0.0,0.0,2.0
Amador,2020-04-02,0.0,3.0,,,0.0,0.0,2.0
Siskiyou,2020-04-02,0.0,3.0,,,0.0,2.0,4.0
Napa,2020-04-02,1.0,4.0,,,1.0,1.0,12.0
San Mateo,2020-04-02,62.0,40.0,,,26.0,4.0,26.0
Merced,2020-04-02,4.0,5.0,,,0.0,1.0,3.0
Tuolumne,2020-04-02,0.0,0.0,,,0.0,0.0,2.0
Inyo,2020-04-02,8.0,102.0,,,0.0,1.0,3.0
Santa Barbara,2020-04-02,26.0,44.0,,,18.0,10.0,47.0
San Joaquin,2020-04-02,42.0,42.0,,,20.0,7.0,17.0
Imperial,2020-04-02,4.0,16.0,,,3.0,5.0,6.0
Ventura,2020-04-02,27.0,111.0,,,7.0,24.0,15.0
Santa Cruz,2020-04-02,4.0,4.0,,,3.0,0.0,7.0
Stanislaus,2020-04-02,30.0,43.0,,,11.0,7.0,22.0
El Dorado,2020-04-02,15.0,12.0,,,0.0,6.0,10.0
Mono,2020-04-02,18.0,2.0,,,0.0,0.0,2.0
Marin,2020-04-02,7.0,16.0,,,3.0,1.0,16.0
San Francisco,2020-04-02,75.0,60.0,,,32.0,11.0,58.0
Yuba,2020-04-02,2.0,25.0,,,2.0,6.0,4.0
Calaveras,2020-04-02,0.0,1.0,,,0.0,0.0,5.0
Plumas,2020-04-02,0.0,0.0,,,0.0,0.0,
Placer,2020-04-02,32.0,15.0,,,9.0,0.0,11.0
Glenn,2020-04-02,0.0,0.0,,,0.0,0.0,
Nevada,2020-04-02,38.0,58.0,,,2.0,1.0,6.0
Mendocino,2020-04-02,0.0,1.0,,,0.0,0.0,8.0
Alameda,2020-04-02,57.0,76.0,,,29.0,17.0,112.0
Contra Costa,2020-04-02,32.0,38.0,,,13.0,10.0,73.0
Kings,2020-04-02,2.0,6.0,,,1.0,1.0,7.0
Modoc,2020-04-02,0.0,1.0,,,0.0,0.0,
San Luis Obispo,2020-04-02,5.0,5.0,,,4.0,4.0,966.0
San Benito,2020-04-02,2.0,0.0,,,2.0,0.0,0.0
Solano,2020-04-02,15.0,8.0,,,7.0,1.0,27.0
Madera,2020-04-02,1.0,7.0,,,1.0,3.0,6.0
Placer,2020-04-03,21.0,23.0,,,10.0,1.0,7.0
San Diego,2020-04-03,171.0,308.0,,,84.0,28.0,216.0
Lake,2020-04-03,0.0,2.0,,,0.0,1.0,2.0
Imperial,2020-04-03,9.0,7.0,,,7.0,0.0,5.0
Sutter,2020-04-03,0.0,0.0,,,,,
Solano,2020-04-03,16.0,21.0,,,7.0,5.0,23.0
Modoc,2020-04-03,0.0,0.0,,,0.0,0.0,
Yuba,2020-04-03,2.0,12.0,,,2.0,2.0,5.0
Tulare,2020-04-03,6.0,15.0,,,5.0,2.0,3.0
Inyo,2020-04-03,8.0,102.0,,,1.0,2.0,1.0
Mendocino,2020-04-03,0.0,5.0,,,0.0,1.0,6.0
Contra Costa,2020-04-03,31.0,39.0,,,15.0,10.0,75.0
Riverside,2020-04-03,105.0,182.0,,,44.0,59.0,127.0
Tehama,2020-04-03,0.0,0.0,,,0.0,0.0,8.0
Calaveras,2020-04-03,0.0,1.0,,,0.0,0.0,5.0
Del Norte,2020-04-03,0.0,2.0,,,0.0,0.0,2.0
Santa Cruz,2020-04-03,4.0,8.0,,,3.0,0.0,2.0
El Dorado,2020-04-03,15.0,9.0,,,0.0,4.0,14.0
Colusa,2020-04-03,1.0,0.0,,,1.0,0.0,5.0
Tuolumne,2020-04-03,0.0,0.0,,,0.0,0.0,1.0
Plumas,2020-04-03,0.0,0.0,,,0.0,0.0,
Madera,2020-04-03,0.0,5.0,,,0.0,1.0,7.0
Humboldt,2020-04-03,1.0,7.0,,,0.0,0.0,10.0
Kings,2020-04-03,0.0,3.0,,,1.0,0.0,3.0
Ventura,2020-04-03,22.0,116.0,,,6.0,28.0,56.0
Napa,2020-04-03,1.0,9.0,,,0.0,1.0,9.0
Mono,2020-04-03,18.0,2.0,,,0.0,0.0,2.0
Butte,2020-04-03,3.0,19.0,,,2.0,6.0,9.0
Marin,2020-04-03,6.0,16.0,,,3.0,5.0,17.0
San Francisco,2020-04-03,80.0,71.0,,,39.0,8.0,74.0
Siskiyou,2020-04-03,0.0,3.0,,,0.0,1.0,4.0
Santa Clara,2020-04-03,164.0,83.0,,,71.0,17.0,97.0
Monterey,2020-04-03,16.0,18.0,,,3.0,1.0,17.0
Yolo,2020-04-03,2.0,7.0,,,3.0,6.0,4.0
Nevada,2020-04-03,2.0,4.0,,,2.0,1.0,5.0
San Benito,2020-04-03,2.0,0.0,,,2.0,0.0,0.0
Mariposa,2020-04-03,0.0,2.0,,,0.0,0.0,
Stanislaus,2020-04-03,28.0,45.0,,,12.0,8.0,22.0
Sonoma,2020-04-03,6.0,24.0,,,2.0,3.0,15.0
San Mateo,2020-04-03,65.0,39.0,,,26.0,4.0,38.0
San Joaquin,2020-04-03,41.0,38.0,,,18.0,8.0,22.0
Fresno,2020-04-03,15.0,81.0,,,7.0,16.0,35.0
Los Angeles,2020-04-03,962.0,1239.0,,,422.0,209.0,473.0
Orange,2020-04-03,131.0,182.0,,,66.0,36.0,151.0
San Bernardino,2020-04-03,118.0,204.0,,,44.0,53.0,57.0
Sacramento,2020-04-03,77.0,76.0,,,28.0,17.0,76.0
Santa Barbara,2020-04-03,27.0,29.0,,,18.0,4.0,50.0
Shasta,2020-04-03,2.0,9.0,,,1.0,3.0,14.0
San Luis Obispo,2020-04-03,4.0,5.0,,,3.0,2.0,967.0
Merced,2020-04-03,4.0,5.0,,,1.0,1.0,4.0
Kern,2020-04-03,35.0,73.0,,,12.0,16.0,47.0
Amador,2020-04-03,0.0,0.0,,,0.0,0.0,1.0
Trinity,2020-04-03,0.0,0.0,,,0.0,0.0,
Glenn,2020-04-03,0.0,0.0,,,0.0,0.0,
Lassen,2020-04-03,0.0,3.0,,,0.0,0.0,
Alameda,2020-04-03,64.0,74.0,,,32.0,13.0,117.0
Amador,2020-04-04,0.0,0.0,,,0.0,0.0,2.0
Humboldt,2020-04-04,1.0,4.0,,,0.0,0.0,7.0
Alameda,2020-04-04,60.0,95.0,,,35.0,18.0,120.0
Orange,2020-04-04,143.0,213.0,,,70.0,45.0,153.0
San Benito,2020-04-04,2.0,3.0,,,2.0,0.0,0.0
San Bernardino,2020-04-04,138.0,254.0,,,51.0,66.0,67.0
Sutter,2020-04-04,0.0,0.0,,,,,
Tuolumne,2020-04-04,0.0,1.0,,,0.0,1.0,2.0
Calaveras,2020-04-04,0.0,1.0,,,0.0,0.0,5.0
Kings,2020-04-04,1.0,9.0,,,1.0,0.0,0.0
El Dorado,2020-04-04,15.0,9.0,,,0.0,3.0,12.0
Napa,2020-04-04,1.0,8.0,,,0.0,1.0,6.0
Mariposa,2020-04-04,0.0,2.0,,,0.0,0.0,
Placer,2020-04-04,23.0,14.0,,,10.0,1.0,12.0
San Mateo,2020-04-04,66.0,19.0,,,25.0,6.0,40.0
Sacramento,2020-04-04,69.0,76.0,,,25.0,18.0,82.0
Yolo,2020-04-04,4.0,5.0,,,3.0,3.0,4.0
Lassen,2020-04-04,0.0,0.0,,,0.0,0.0,
Merced,2020-04-04,5.0,14.0,,,1.0,1.0,6.0
Riverside,2020-04-04,126.0,186.0,,,39.0,56.0,125.0
San Diego,2020-04-04,177.0,218.0,,,86.0,19.0,222.0
Shasta,2020-04-04,2.0,10.0,,,4.0,0.0,13.0
Colusa,2020-04-04,1.0,0.0,,,1.0,0.0,5.0
Santa Clara,2020-04-04,159.0,79.0,,,72.0,19.0,91.0
Tehama,2020-04-04,0.0,1.0,,,0.0,0.0,8.0
Trinity,2020-04-04,0.0,0.0,,,0.0,0.0,
Nevada,2020-04-04,2.0,6.0,,,2.0,2.0,5.0
Santa Barbara,2020-04-04,28.0,34.0,,,18.0,2.0,53.0
Mono,2020-04-04,20.0,2.0,,,0.0,0.0,2.0
Solano,2020-04-04,16.0,19.0,,,7.0,2.0,23.0
Del Norte,2020-04-04,0.0,2.0,,,0.0,0.0,1.0
Mendocino,2020-04-04,0.0,3.0,,,0.0,1.0,7.0
San Luis Obispo,2020-04-04,4.0,6.0,,,3.0,3.0,954.0
Ventura,2020-04-04,21.0,127.0,,,7.0,25.0,10.0
Yuba,2020-04-04,2.0,16.0,,,2.0,2.0,7.0
Fresno,2020-04-04,14.0,93.0,,,7.0,20.0,36.0
Modoc,2020-04-04,0.0,0.0,,,0.0,0.0,
Inyo,2020-04-04,8.0,106.0,,,1.0,1.0,2.0
Lake,2020-04-04,0.0,4.0,,,0.0,1.0,4.0
Stanislaus,2020-04-04,30.0,45.0,,,12.0,9.0,26.0
Sonoma,2020-04-04,7.0,16.0,,,2.0,6.0,15.0
San Joaquin,2020-04-04,43.0,30.0,,,16.0,7.0,24.0
Plumas,2020-04-04,0.0,0.0,,,0.0,0.0,
Butte,2020-04-04,3.0,14.0,,,1.0,4.0,7.0
Siskiyou,2020-04-04,0.0,2.0,,,0.0,1.0,5.0
Imperial,2020-04-04,9.0,10.0,,,5.0,2.0,5.0
Kern,2020-04-04,33.0,54.0,,,14.0,11.0,29.0
Santa Cruz,2020-04-04,4.0,6.0,,,3.0,0.0,7.0
Madera,2020-04-04,0.0,4.0,,,0.0,0.0,8.0
Marin,2020-04-04,5.0,16.0,,,3.0,5.0,12.0
Glenn,2020-04-04,0.0,0.0,,,0.0,0.0,
Tulare,2020-04-04,8.0,20.0,,,5.0,1.0,6.0
Los Angeles,2020-04-04,1007.0,1190.0,,,449.0,181.0,537.0
Monterey,2020-04-04,16.0,25.0,,,4.0,2.0,18.0
San Francisco,2020-04-04,80.0,65.0,,,37.0,7.0,79.0
Contra Costa,2020-04-04,30.0,47.0,,,12.0,7.0,87.0
Santa Barbara,2020-04-05,31.0,26.0,,,18.0,2.0,59.0
Inyo,2020-04-05,9.0,106.0,,,1.0,0.0,3.0
Yolo,2020-04-05,3.0,6.0,,,3.0,3.0,4.0
Mendocino,2020-04-05,0.0,3.0,,,0.0,2.0,4.0
Amador,2020-04-05,0.0,0.0,,,0.0,0.0,2.0
San Luis Obispo,2020-04-05,2.0,11.0,,,2.0,9.0,28.0
Santa Clara,2020-04-05,166.0,69.0,,,68.0,18.0,90.0
Glenn,2020-04-05,0.0,0.0,,,0.0,0.0,
San Joaquin,2020-04-05,46.0,24.0,,,17.0,4.0,19.0
Napa,2020-04-05,1.0,8.0,,,0.0,1.0,11.0
Los Angeles,2020-04-05,1094.0,1082.0,,,473.0,166.0,554.0
Ventura,2020-04-05,21.0,128.0,,,7.0,28.0,12.0
Kings,2020-04-05,3.0,1.0,,,2.0,0.0,0.0
San Diego,2020-04-05,179.0,220.0,,,89.0,31.0,247.0
El Dorado,2020-04-05,16.0,6.0,,,0.0,3.0,7.0
Calaveras,2020-04-05,0.0,0.0,,,0.0,0.0,6.0
Madera,2020-04-05,0.0,1.0,,,0.0,0.0,8.0
Lake,2020-04-05,0.0,4.0,,,0.0,2.0,3.0
Monterey,2020-04-05,16.0,15.0,,,4.0,0.0,23.0
Plumas,2020-04-05,0.0,0.0,,,0.0,0.0,
Imperial,2020-04-05,9.0,9.0,,,8.0,1.0,3.0
San Benito,2020-04-05,3.0,0.0,,,2.0,0.0,0.0
